ReefName,ReefID,Latitude,Longitude,Total Cull Hours,Total COTS Culled
(Big) Broadhurst Reef (No 1) (18-100a),18-100a,-18.907,147.742,674,997
(Big) Broadhurst Reef (No 2) (18-100b),18-100b,-18.863,147.694,28,30
(Little) Broadhurst Reef (18-106),18-106,-18.956,147.694,0,0
Agincourt Reefs (No 2b) (15-099e),15-099e,-16.03,145.858,0,0
Anzac Reefs (No 1) (18-087),18-087,-18.694,147.857,0,0
Arab Reef (18-040),18-040,-18.415,147.139,0,0
Arlington Reef (16-064),16-064,-16.695,146.055,19,1
Backnumbers Reef (18-069a),18-069a,-18.509,147.148,0,0
Bait Reef (19-137),19-137,-19.807,149.074,0,0
Banfield Reef (North) (18-105a),18-105a,-18.925,147.897,583,3337
Banfield Reef (South) (18-105b),18-105b,-18.939,147.909,0,0
Barnett Patches (18-019),18-019,-18.06,146.853,0,0
Batt Reef (16-029),16-029,-16.414,145.768,586,2401
Black Island Reef (20-017),20-017,-20.081,148.893,0,0
Block Reef (19-127),19-127,-19.699,149.373,0,0
Boulder Reef (15-012),15-012,-15.414,145.431,0,0
Boult Reef (23-079),23-079,-23.757,152.272,0,0
Bowden Reef (19-019),19-019,-19.033,147.928,51,75
Breaking Patches (16-042),16-042,-16.582,145.98,0,0
Briggs Reef (16-074),16-074,-16.938,146.207,0,0
Britomart Reef (18-024),18-024,-18.229,146.726,0,0
Bushy-Redbill Reef (20-310),20-310,-20.962,150.08,79,2849
Cairns Reef (15-086),15-086,-15.672,145.509,4,0
Castor Reef (19-025),19-025,-19.015,148.341,0,0
Centipede Reef (18-088),18-088,-18.722,147.542,115,21
Chinaman Reef (16-024),16-024,-16.213,145.792,108,80
Circular Quay Reef (19-134),19-134,-19.744,149.486,0,0
Collette Reef (11-037),11-037,-11.215,143.318,0,0
Darley Reef (19-043),19-043,-19.197,148.183,0,0
Davies Reef (18-096),18-096,-18.822,147.645,303,481
Detour Reef (21-514),21-514,-21.761,152.414,0,0
Egret Reef (15-013),15-013,-15.474,145.418,0,0
Emily Reef (15-082),15-082,-15.606,145.626,51,211
Emperor Reef (21-538),21-538,-21.884,152.444,187,328
Endeavour Reef (15-089),15-089,-15.777,145.582,0,0
Evening Reef (15-095),15-095,-15.905,145.657,404,2348
Eye Reef (14-134),14-134,-14.895,145.478,6,25
Eyrie Reef (14-118),14-118,-14.711,145.379,94,258
Fairfax Islands Reef (23-081),23-081,-23.867,152.361,0,0
Faith Reef (19-044),19-044,-19.279,148.35,0,0
Fitzroy Island Reef (No 1) (16-054a),16-054a,-16.925,145.994,0,0
Fitzroy Island Reef (No 2) (16-054b),16-054b,-16.933,145.985,0,0
Fitzroy Reef (23-077),23-077,-23.633,152.147,0,0
Fore And Aft Reef (18-043),18-043,-18.505,147.038,0,0
Fork Reef (18-083),18-083,-18.608,147.554,0,0
Forrester Reef (15-009),15-009,-15.167,145.496,316,891
Green Island Reef (16-049),16-049,-16.767,145.999,0,0
Grub Reef (18-077),18-077,-18.626,147.426,57,27
Hardy Reef (19-135),19-135,-19.76,149.233,0,0
Hastings Reef (16-057),16-057,-16.518,146.008,39,11
Hayman Island Reef (20-014),20-014,-20.061,148.891,0,0
Helix Reef (18-076),18-076,-18.625,147.298,0,0
Helsdon Reef (14-135),14-135,-14.939,145.488,248,1140
Heron Reef (23-052a),23-052a,-23.446,151.971,344,306
Holbourne Island Reef (No 1) (19-103a),19-103a,-19.725,148.357,0,0
Holbourne Island Reef (No 2) (19-103b),19-103b,-19.729,148.364,0,0
Hook Island Reef (No 6) (20-028f),20-028f,-20.077,148.908,0,0
Hook Island Reef (No 7) (20-028g),20-028g,-20.073,148.925,0,0
Hook Island Reef (No 8) (20-028j),20-028j,-20.067,148.939,0,0
Hook Island Reef (No 9) (20-028h),20-028h,-20.063,148.958,0,0
Hook Reef (19-136a),19-136a,-19.792,149.185,0,0
Hopkinson Reef (18-073),18-073,-18.551,147.193,0,0
Hoskyn Islands Reef (23-080),23-080,-23.808,152.287,0,0
Houdini Reef (21-524),21-524,-21.823,152.428,0,0
Irene Reef (15-084),15-084,-15.648,145.715,866,8965
Isobel Bennett Reef (21-505),21-505,-21.707,152.349,0,0
John Brewer Reef (18-075),18-075,-18.631,147.053,47,108
Judith Wright Reef (18-101),18-101,-18.9,147.951,350,5037
Jupiter Reef (18-115),18-115,-18.924,148.253,0,0
Keeper Reef (18-079),18-079,-18.746,147.268,47,58
Kelso Reef (18-030),18-030,-18.436,146.99,103,163
Knife Reef (18-081),18-081,-18.576,147.572,0,0
Lady Elliot Island Reef (24-008),24-008,-24.113,152.715,0,0
Lady Musgrave Reef (23-082a),23-082a,-23.902,152.387,0,0
Lamont Reef (23-076),23-076,-23.599,152.027,19,3
Langford-Bird Reef (20-019),20-019,-20.088,148.878,0,0
Lark Reef (15-033),15-033,-15.288,145.574,263,660
Linnet Reef (14-126),14-126,-14.787,145.344,115,329
Little Fitzroy Island Reef (16-055),16-055,-16.923,146.006,0,0
Little Kelso Reef (18-031),18-031,-18.469,146.993,0,0
Lizard Island Reef (Coconut Bay) (14-116c),14-116c,-14.681,145.472,0,0
Lizard Island Reef (Lagoon) (14-116d),14-116d,-14.686,145.45,200,450
Lizard Island Reef (North East) (14-116b),14-116b,-14.655,145.466,13,3
