OrderInReefModMatrix,ReefName,GBRMPAID,LTMPID,LAT,LON,UNIQUE_ID,Cscape cluster,LTMP_reef,EcoRRAP_photogrammetry_reef,cscape_region,Tempgrowth
1,'U/N Reef (10-330)','10-330',10330S,-10.7795,142.5916,10330100104,NA,,,,NA
2,'Harrington Shoal (10-331)','10-331',10331S,-10.7966,142.7106,10331100104,NA,,,,NA
3,'U/N Reef (10-332)','10-332',10332S,-10.8243,142.5736,10332100104,NA,,,,NA
4,'U/N Reef (10-333)','10-333',10333S,-10.8354,142.5766,10333100104,NA,,,,NA
5,'Four Fathom Patches (10-334)','10-334',10334S,-10.8199,142.6871,10334100104,NA,,,,NA
6,'Harrington Reef (10-335)','10-335',10335S,-10.8213,142.7231,10335100104,NA,,,,NA
7,'Wyborn Reef (10-336)','10-336',10336S,-10.821,142.7622,10336100104,NA,,,,NA
8,'U/N Reef (10-337)','10-337',10337S,-10.8079,142.9288,10337100104,NA,,,,NA
9,'Womer Reef (10-338)','10-338',10338S,-10.7999,142.9836,10338100104,NA,,,,NA
10,'Brewis Reef (10-339)','10-339',10339S,-10.887,142.6933,10339100104,NA,,,,NA
11,'Turtle Island Reef (10-340)','10-340',10340S,-10.8899,142.6963,10340100104,NA,,,,NA
12,'Shortland Reef (10-341)','10-341',10341S,-10.9013,142.7727,10341100104,NA,,,,NA
13,'Trochus Reef (10-342)','10-342',10342S,-10.9214,142.6311,10342100104,NA,,,,NA
14,'U/N Reef (10-299)','10-299',10299S,-10.7754,143.0896,10299100104,NA,,,,NA
15,'Tree Reef (10-316)','10-316',10316S,-10.7043,142.597,10316100104,NA,,,,NA
16,'Brush Islet Reef (10-317)','10-317',10317S,-10.709,142.5979,10317100104,NA,,,,NA
17,'Albany Island Reef (No 1) (10-318a)','10-318a',10318S,-10.7153,142.593,10318101104,NA,,,,NA
18,'Albany Island Reef (No 2) (10-318b)','10-318b',10318S,-10.7283,142.6178,10318102104,NA,,,,NA
19,'Albany Island Reef (No 3) (10-318c)','10-318c',10318S,-10.7466,142.6233,10318103104,NA,,,,NA
20,'Albany Island Reef (No 4) (10-318d)','10-318d',10318S,-10.7389,142.6049,10318104104,NA,,,,NA
21,'Mai Reef (10-320)','10-320',10320S,-10.7245,142.6248,10320100104,NA,,,,NA
22,'Albany Rock Reef (10-321)','10-321',10321S,-10.7189,142.6299,10321100104,NA,,,,NA
23,'North Brother Reef (10-322)','10-322',10322S,-10.7008,142.6732,10322100104,NA,,,,NA
24,'Middle Brother Reef (10-323)','10-323',10323S,-10.7119,142.6854,10323100104,NA,,,,NA
25,'South Brother Reef (10-324)','10-324',10324S,-10.7167,142.6918,10324100104,NA,,,,NA
26,'North Ledge (10-325)','10-325',10325S,-10.6803,142.7383,10325100104,NA,,,,NA
27,'Meggi-Damun Reef (10-326)','10-326',10326S,-10.6825,142.7861,10326100104,NA,,,,NA
28,'South Ledge (10-327)','10-327',10327S,-10.7053,142.7323,10327100104,NA,,,,NA
29,'Ulfa Reef (10-328)','10-328',10328S,-10.7578,142.6143,10328100104,NA,,,,NA
30,'Ariel Bank (10-329)','10-329',10329S,-10.7708,142.6252,10329100104,NA,,,,NA
31,'U/N Reef (10-401)','10-401',10401S,-10.8032,143.8008,10401100104,NA,,,,NA
32,'U/N Reef (10-402)','10-402',10402S,-10.8055,144.0066,10402100104,NA,,,,NA
33,'U/N Reef (10-403)','10-403',10403S,-10.8237,143.9961,10403100104,NA,,,,NA
34,'U/N Reef (10-404)','10-404',10404S,-10.8251,143.8238,10404100104,NA,,,,NA
35,'U/N Reef (10-405)','10-405',10405S,-10.8462,143.7581,10405100104,NA,,,,NA
36,'U/N Reef (10-406)','10-406',10406S,-10.8449,144.0145,10406100104,NA,,,,NA
37,'U/N Reef (10-407a)','10-407a',10407S,-10.8661,143.9845,10407101104,NA,,,,NA
38,'Turtle Head Island Reef (No 1) (10-343a)','10-343a',10343S,-10.9369,142.7059,10343101104,NA,,,,NA
39,'Turtle Head Island Reef (No 2) (10-343b)','10-343b',10343S,-10.9475,142.7062,10343102104,NA,,,,NA
40,'Tern Reef (10-344)','10-344',10344S,-10.99,142.7664,10344100104,NA,,,,NA
41,'U/N Reef (10-348)','10-348',10348S,-10.6836,143.2521,10348100104,NA,,,,NA
42,'U/N Reef (10-349)','10-349',10349S,-10.6971,143.4338,10349100104,NA,,,,NA
43,'U/N Reef (10-350)','10-350',10350S,-10.6966,143.4663,10350100104,NA,,,,NA
44,'U/N Reef (10-351)','10-351',10351S,-10.7318,143.1903,10351100104,NA,,,,NA
45,'U/N Reef (10-352)','10-352',10352S,-10.7347,143.3368,10352100104,NA,,,,NA
46,'U/N Reef (10-353)','10-353',10353S,-10.7519,143.0937,10353100104,NA,,,,NA
47,'U/N Reef (10-354)','10-354',10354S,-10.7523,143.3718,10354100104,NA,,,,NA
48,'U/N Reef (10-355)','10-355',10355S,-10.7568,143.3243,10355100104,NA,,,,NA
49,'U/N Reef (10-356)','10-356',10356S,-10.7762,143.412,10356100104,NA,,,,NA
50,'U/N Reef (10-357)','10-357',10357S,-10.8058,143.3534,10357100104,NA,,,,NA
51,'U/N Reef (10-358)','10-358',10358S,-10.8378,143.3357,10358100104,NA,,,,NA
52,'U/N Reef (10-359)','10-359',10359S,-10.9405,143.4596,10359100104,NA,,,,NA
53,'U/N Reef (10-360)','10-360',10360S,-10.8391,143.2982,10360100104,NA,,,,NA
54,'U/N Reef (10-361)','10-361',10361S,-10.849,143.4038,10361100104,NA,,,,NA
55,'U/N Reef (10-362)','10-362',10362S,-10.853,143.239,10362100104,NA,,,,NA
56,'U/N Reef (10-363)','10-363',10363S,-10.895,143.2402,10363100104,NA,,,,NA
57,'U/N Reef (10-364)','10-364',10364S,-10.8976,143.21,10364100104,NA,,,,NA
58,'Linda Reef (10-365)','10-365',10365S,-10.9066,143.1778,10365100104,NA,,,,NA
59,'U/N Reef (10-366)','10-366',10366S,-10.9039,143.2898,10366100104,NA,,,,NA
60,'U/N Reef (10-367)','10-367',10367S,-10.9055,143.3829,10367100104,NA,,,,NA
61,'U/N Reef (10-368)','10-368',10368S,-10.9151,143.3141,10368100104,NA,,,,NA
62,'U/N Reef (10-369)','10-369',10369S,-10.9318,143.2959,10369100104,NA,,,,NA
63,'U/N Reef (10-370)','10-370',10370S,-10.9325,143.2183,10370100104,NA,,,,NA
64,'U/N Reef (10-371)','10-371',10371S,-10.9469,143.2423,10371100104,NA,,,,NA
65,'U/N Reef (10-372)','10-372',10372S,-10.9503,143.1571,10372100104,NA,,,,NA
66,'U/N Reef (10-373)','10-373',10373S,-10.952,143.1301,10373100104,NA,,,,NA
67,'U/N Reef (10-374)','10-374',10374S,-10.9392,143.3598,10374100104,NA,,,,NA
68,'U/N Reef (10-375a)','10-375a',10375S,-10.9637,143.3997,10375101104,NA,,,,NA
69,'U/N Reef (10-375b)','10-375b',10375S,-10.9676,143.4256,10375102104,NA,,,,NA
