MgmtAreaShort,ReefName,ReefID,Provider,Longitude,Latitude,MCDA Ranking,RankForAction,Zone
Far Northern,U/N Reef (10-299),10-299,TBC,143.09,-10.775,7,Rank 2,Habitat Protection
Far Northern,U/N Reef (10-351),10-351,TBC,143.19,-10.732,10,Rank 3,Habitat Protection
Far Northern,U/N Reef (10-353),10-353,TBC,143.094,-10.752,6,Rank 1,Habitat Protection|General Use
Far Northern,U/N Reef (10-372),10-372,TBC,143.157,-10.95,9,Rank 3,Habitat Protection
Far Northern,McSweeney Reef (11-016),11-016,TBC,143.243,-11.023,8,Rank 2,Habitat Protection
Far Northern,Monsoon Reef (11-029),11-029,TBC,143.253,-11.129,3,Rank 1,Habitat Protection|General Use
Far Northern,Collette Reef (11-037),11-037,TBC,143.318,-11.215,4,Rank 2,Habitat Protection|General Use
Far Northern,U/N Reef (11-039),11-039,TBC,143.257,-11.241,2,Rank 2,Habitat Protection
Far Northern,U/N Reef (11-049),11-049,TBC,143.335,-11.361,5,Rank 2,Marine National Park
Far Northern,U/N Reef (11-162),11-162,TBC,143.291,-11.604,1,Rank 3,Marine National Park
Northern,MacGillivray Reef (14-114),14-114,INLOC/BPM,145.491,-14.652,60,Rank 2,Scientific Research
Northern,Lizard Island Reef (North West) (14-116a),14-116a,INLOC/BPM,145.447,-14.659,36,Rank 1,Scientific Research|Marine National Park
Northern,Lizard Island Reef (North East) (14-116b),14-116b,INLOC/BPM,145.466,-14.655,71,Rank 1,Scientific Research|Conservation Park|Marine National Park
Northern,Lizard Island Reef (Coconut Bay) (14-116c),14-116c,INLOC/BPM,145.472,-14.681,66,Rank 1,Scientific Research
Northern,Lizard Island Reef (Lagoon) (14-116d),14-116d,INLOC/BPM,145.45,-14.686,63,Rank 1,Scientific Research
Northern,Eyrie Reef (14-118),14-118,INLOC/BPM,145.379,-14.711,33,Rank 1,Marine National Park
Northern,Martin Reef (14-123),14-123,INLOC/BPM,145.356,-14.763,43,Rank 1,Habitat Protection
Northern,Linnet Reef (14-126),14-126,INLOC/BPM,145.344,-14.787,8,Rank 1,Habitat Protection
Northern,Rocky Islets Reef (14-132a),14-132a,INLOC/BPM,145.48,-14.855,13,Rank 1,Marine National Park
Northern,U/N Reef (14-132b),14-132b,INLOC/BPM,145.528,-14.866,15,Rank 2,Habitat Protection
Northern,U/N Reef (14-132c),14-132c,INLOC/BPM,145.489,-14.869,14,Rank 2,Marine National Park
Northern,U/N Reef (14-133),14-133,INLOC/BPM,145.516,-14.917,16,Rank 1,Habitat Protection
Northern,Helsdon Reef (14-135),14-135,INLOC/BPM,145.488,-14.939,46,Rank 1,Habitat Protection
Northern,U/N Reef (14-142),14-142,INLOC/BPM,145.583,-14.731,47,Rank 2,Habitat Protection
Northern,North Direction Reef (14-143),14-143,INLOC/BPM,145.511,-14.746,7,Rank 2,Scientific Research
Northern,U/N Reef (14-145),14-145,INLOC/BPM,145.587,-14.79,12,Rank 2,Habitat Protection
Northern,South Direction Reef (North) (14-147a),14-147a,INLOC/BPM,145.524,-14.824,54,Rank 3,Marine National Park|Buffer
Northern,South Direction Reef (South) (14-147b),14-147b,INLOC/BPM,145.521,-14.812,11,Rank 2,Buffer
Northern,U/N Reef (14-149),14-149,INLOC/BPM,145.618,-14.843,78,Rank 2,Habitat Protection
Northern,Forrester Reef (15-009),15-009,INLOC/BPM,145.496,-15.167,59,Rank 1,Habitat Protection
Northern,Boulder Reef (15-012),15-012,INLOC/BPM,145.431,-15.414,4,Rank 3,Conservation Park
Northern,Egret Reef (15-013),15-013,INLOC/BPM,145.417,-15.474,61,Rank 3,Conservation Park
Northern,Long Reef (15-019),15-019,INLOC/BPM,145.57,-15.051,72,Rank 1,Habitat Protection
Northern,U/N Reef (15-022),15-022,INLOC/BPM,145.636,-15.098,55,Rank 2,Habitat Protection
Northern,U/N Reef (15-023),15-023,INLOC/BPM,145.67,-15.094,10,Rank 2,Habitat Protection
Northern,Mackay Reefs (15-024),15-024,INLOC/BPM,145.571,-15.139,65,Rank 3,Habitat Protection
Northern,Marx Reef (15-027),15-027,INLOC/BPM,145.621,-15.198,9,Rank 2,Habitat Protection
Northern,Startle Reefs (15-028),15-028,INLOC/BPM,145.557,-15.207,41,Rank 1,Habitat Protection
Northern,Swinger Reef (15-030),15-030,INLOC,145.537,-15.242,68,Rank 2,Habitat Protection
Northern,Pullen Reefs (15-031),15-031,INLOC,145.587,-15.251,76,Rank 2,Habitat Protection
Northern,Lark Reef (15-033),15-033,INLOC,145.574,-15.288,73,Rank 2,Marine National Park
Northern,U/N Reef (15-043),15-043,INLOC,145.508,-15.429,75,Rank 2,Habitat Protection
Northern,U/N Reef (15-048),15-048,INLOC,145.655,-15.484,77,Rank 2,Habitat Protection
Northern,U/N Reef (15-049),15-049,INLOC,145.503,-15.486,70,Rank 2,Habitat Protection
Northern,Vicki Harriott Reef (15-070),15-070,INLOC,145.618,-15.503,64,Rank 3,Habitat Protection
Northern,U/N Reef (15-071c),15-071c,INLOC,145.57,-15.51,79,Rank 2,Habitat Protection
Northern,Osterlund Reef (15-078),15-078,INLOC,145.532,-15.556,62,Rank 1,Habitat Protection
Northern,Rosser Reef (15-081),15-081,INLOC,145.515,-15.607,5,Rank 2,Habitat Protection
Northern,Emily Reef (15-082),15-082,INLOC,145.626,-15.606,69,Rank 2,Habitat Protection
Northern,Irene Reef (15-084),15-084,INLOC,145.715,-15.648,2,Rank 2,Habitat Protection
Northern,Cairns Reef (15-086),15-086,INLOC,145.509,-15.672,56,Rank 1,Habitat Protection
Northern,Ruby Reef (15-088),15-088,INLOC,145.781,-15.75,58,Rank 2,Habitat Protection
Northern,Endeavour Reef (15-089),15-089,INLOC,145.582,-15.777,67,Rank 3,Marine National Park
Northern,Pickersgill Reef (15-093),15-093,INLOC,145.574,-15.873,3,Rank 2,Conservation Park
Northern,Evening Reef (15-095),15-095,INLOC,145.657,-15.905,6,Rank 2,Habitat Protection
Northern,Agincourt Reefs (No 2b) (15-099e),15-099e,INLOC,145.858,-16.03,1,Rank 3,Marine National Park
Northern,Spitfire Reefs (East) (16-012b),16-012b,INLOC/BPM,145.635,-16.015,74,Rank 2,Habitat Protection
Northern,Mackay Reef (16-015),16-015,INLOC,145.647,-16.049,35,Rank 3,Habitat Protection
Northern,U/N Reef (16-016),16-016,INLOC/BPM,145.739,-16.055,24,Rank 2,Habitat Protection
Northern,Sylvan Reef (16-017),16-017,INLOC/BPM,145.721,-16.08,22,Rank 2,Habitat Protection
Northern,U/N Reef (16-018a),16-018a,INLOC/BPM,145.756,-16.077,25,Rank 2,Habitat Protection
Northern,St Crispin Reef (16-019),16-019,INLOC,145.833,-16.104,42,Rank 3,Habitat Protection
Northern,Undine Reef (West) (16-020a),16-020a,INLOC,145.687,-16.123,45,Rank 3,Habitat Protection
Northern,Undine Reef (East) (16-020b),16-020b,INLOC,145.775,-16.117,57,Rank 3,Habitat Protection
Northern,Rudder Reef (16-023),16-023,INLOC,145.693,-16.192,39,Rank 2,Habitat Protection
Northern,Chinaman Reef (16-024),16-024,INLOC,145.792,-16.213,44,Rank 3,Habitat Protection
Northern,Opal Reef (16-025),16-025,INLOC,145.89,-16.221,31,Rank 1,Marine National Park|Conservation Park
Northern,Tongue Reef (16-026),16-026,INLOC/BPM,145.793,-16.321,34,Rank 3,Marine National Park|Habitat Protection
Northern,Low Islands Reef (16-028),16-028,INLOC,145.564,-16.386,27,Rank 3,Commonwealth Island (GBRMPA)|Marine National Park
Northern,Batt Reef (16-029),16-029,INLOC/BPM,145.767,-16.414,17,Rank 1,Habitat Protection
Northern,Norman Reef (16-030),16-030,INLOC,145.997,-16.428,23,Rank 3,Marine National Park
Northern,Saxon Reef (16-032),16-032,INLOC,145.99,-16.465,21,Rank 2,Marine National Park
Northern,Pixie Reef (16-040),16-040,INLOC,145.862,-16.547,18,Rank 1,Habitat Protection
Northern,Breaking Patches (16-042),16-042,INLOC,145.98,-16.582,53,Rank 3,Marine National Park
Northern,Green Island Reef (16-049),16-049,INLOC,145.999,-16.767,19,Rank 3,Scientific Research|Marine National Park|Habitat Protection
Northern,Fitzroy Island Reef (No 1) (16-054a),16-054a,INLOC,145.994,-16.925,38,Rank 3,Conservation Park
Northern,Fitzroy Island Reef (No 2) (16-054b),16-054b,INLOC,145.985,-16.933,52,Rank 3,Conservation Park
Northern,U/N Reef (16-054f),16-054f,INLOC,145.989,-16.941,49,Rank 3,Conservation Park
Northern,U/N Reef (16-054g),16-054g,INLOC,146.002,-16.934,51,Rank 3,Conservation Park
Northern,Little Fitzroy Island Reef (16-055),16-055,INLOC,146.006,-16.923,50,Rank 3,Conservation Park|Commonwealth Island (Other)
