Year,response,lower,upper,Region,period,pre_post
1986,0.2646441916930032,0.23683828071992655,0.2919584671386522,Northern GBR,86 to 90,pre_2010
1987,0.21580140884692134,0.180206421,0.2536955466851341,Northern GBR,86 to 90,pre_2010
1988,0.3123519598824653,0.2704283776855893,0.35368775504553485,Northern GBR,86 to 90,pre_2010
1989,0.2368371308975282,0.20064373635309538,0.27422592327965334,Northern GBR,86 to 90,pre_2010
1990,0.28890375944786206,0.2517891755868873,0.3265948183409823,Northern GBR,86 to 90,pre_2010
1991,0.21554683934107952,0.18740547644548258,0.24774969088422286,Northern GBR,91 to 95,pre_2010
1992,0.2855888061174834,0.24541496580221978,0.3311574264288925,Northern GBR,91 to 95,pre_2010
1993,0.27874169173819546,0.23970353864550412,0.31729388068712633,Northern GBR,91 to 95,pre_2010
1994,0.3068189603902951,0.26832978591520684,0.34754650594104475,Northern GBR,91 to 95,pre_2010
1995,0.23493925981224628,0.20234267757310737,0.2680230857291634,Northern GBR,91 to 95,pre_2010
1996,0.278297562,0.24413798838227158,0.31558847215408725,Northern GBR,96 to 00,pre_2010
1997,0.2550591343841202,0.20275255036323853,0.3088024355690828,Northern GBR,96 to 00,pre_2010
1998,0.23602160350218426,0.2058558567936922,0.26680818722445343,Northern GBR,96 to 00,pre_2010
1999,0.2986665102037963,0.25595799653813056,0.3397774511907734,Northern GBR,96 to 00,pre_2010
2000,0.3117648146383427,0.2685672321157157,0.35220124623355176,Northern GBR,96 to 00,pre_2010
2001,0.26898373483714283,0.23075195353413663,0.30723869270503795,Northern GBR,01 to 05,pre_2010
2002,0.28230450701268317,0.24481477399459026,0.32166214114365943,Northern GBR,01 to 05,pre_2010
2003,0.2860166082357217,0.24125794249638383,0.33268750793250706,Northern GBR,01 to 05,pre_2010
2004,0.2172276443221401,0.18447037041118303,0.2491441136284958,Northern GBR,01 to 05,pre_2010
2005,0.27958877773328417,0.2417741935032984,0.31832011,Northern GBR,01 to 05,pre_2010
2006,0.2147813311445279,0.1831214407173878,0.24616709662723263,Northern GBR,06 to 10,pre_2010
2007,0.2592030475998231,0.21569827838995337,0.3073762198666148,Northern GBR,06 to 10,pre_2010
2008,0.23452228771848332,0.1846438251699816,0.2928851327690586,Northern GBR,06 to 10,pre_2010
2009,0.26861391823051906,0.22882318739906432,0.3092990294466121,Northern GBR,06 to 10,pre_2010
2010,0.27374351291327265,0.23146862800706966,0.3126478016505957,Northern GBR,06 to 10,pre_2010
2011,0.28253361595049575,0.23349868273512137,0.3327395807595399,Northern GBR,11 to 15,post_2010
2013,0.2512721270738691,0.21993395229023685,0.28070488263702703,Northern GBR,11 to 15,post_2010
2015,0.16181706884789337,0.1344194840634454,0.18986741564567083,Northern GBR,11 to 15,post_2010
2017,0.13487873945259232,0.1138887262024345,0.15535745636098178,Northern GBR,16 to 20,post_2010
2019,0.16440607066978136,0.13792824246006458,0.19066294240735399,Northern GBR,16 to 20,post_2010
2020,0.17900981011211636,0.15148267413217423,0.2079205910323013,Northern GBR,16 to 20,post_2010
2021,0.2699439289555253,0.23926902933883745,0.29999599413400957,Northern GBR,21 to 23,post_2010
2022,0.36538477195266184,0.3218345520563006,0.4095568847564804,Northern GBR,21 to 23,post_2010
2023,0.3573584334194776,0.3206538827770867,0.39596916269156046,Northern GBR,21 to 23,post_2010
1986,0.2332368226893669,0.21359457065382864,0.2518202934608539,Central GBR,86 to 90,pre_2010
1987,0.20837546550142552,0.1850099812149894,0.23232612895113255,Central GBR,86 to 90,pre_2010
1988,0.20119101498279118,0.1817664182426042,0.22358065166039864,Central GBR,86 to 90,pre_2010
1989,0.17665293646389796,0.15974617709602254,0.19437153421390965,Central GBR,86 to 90,pre_2010
1990,0.1639747386963471,0.15019963286322982,0.18157798681915072,Central GBR,86 to 90,pre_2010
1991,0.15532654602212242,0.13796862089591297,0.17450578077750534,Central GBR,91 to 95,pre_2010
1992,0.17019025794155668,0.1494908561911784,0.19304376695309253,Central GBR,91 to 95,pre_2010
1993,0.19699472880175434,0.17303474739094216,0.22338088738497375,Central GBR,91 to 95,pre_2010
1994,0.19663175302420866,0.1736030573891096,0.22178683284319978,Central GBR,91 to 95,pre_2010
1995,0.2186429171074718,0.19478173873204513,0.24493454127859013,Central GBR,91 to 95,pre_2010
1996,0.21548226669745013,0.19281688157390803,0.239535735,Central GBR,96 to 00,pre_2010
1997,0.21965560009748147,0.19369589983802482,0.2443757816996375,Central GBR,96 to 00,pre_2010
1998,0.22016214906012804,0.1980390050889357,0.24658418898493212,Central GBR,96 to 00,pre_2010
1999,0.19594817272986495,0.17449083139950056,0.21903675084705918,Central GBR,96 to 00,pre_2010
2000,0.19498557994721388,0.17210136820967512,0.21644352650511411,Central GBR,96 to 00,pre_2010
2001,0.194351797,0.17109348588931747,0.2193620565829639,Central GBR,01 to 05,pre_2010
2002,0.18638255963220293,0.16840320473375206,0.20703982561594103,Central GBR,01 to 05,pre_2010
2003,0.16407964959895704,0.14621578843731942,0.1823484874653755,Central GBR,01 to 05,pre_2010
2004,0.16728848235911925,0.14600337787841902,0.18797240395075318,Central GBR,01 to 05,pre_2010
2005,0.17881141354796612,0.158430508,0.2023232494375526,Central GBR,01 to 05,pre_2010
2006,0.14508386467171486,0.12589756438520083,0.16466172571281068,Central GBR,06 to 10,pre_2010
2007,0.15566923905032165,0.13906218055139583,0.1729365319181269,Central GBR,06 to 10,pre_2010
2008,0.14557944768173287,0.1219617843473068,0.1667928069993715,Central GBR,06 to 10,pre_2010
2009,0.16882485324075341,0.145345987,0.19561698514620043,Central GBR,06 to 10,pre_2010
2010,0.19915315467680766,0.17180700332855398,0.2274912281134249,Central GBR,06 to 10,pre_2010
2011,0.11929179197283363,0.098067891,0.1403554438001776,Central GBR,11 to 15,post_2010
2012,0.1123367212054848,0.093558237,0.1356850813609784,Central GBR,11 to 15,post_2010
2013,0.12413343153980823,0.10658534212419038,0.1428261858636391,Central GBR,11 to 15,post_2010
2014,0.17147721438064278,0.1415807007667937,0.2074501893808427,Central GBR,11 to 15,post_2010
2015,0.17552558341997748,0.15165597085062696,0.19871288162983677,Central GBR,11 to 15,post_2010
2016,0.29079902141449576,0.25352036884416357,0.3319712627023896,Central GBR,16 to 20,post_2010
2017,0.2312473054738165,0.20223523022230877,0.26214454188092107,Central GBR,16 to 20,post_2010
2018,0.1745532847331872,0.1460587316075881,0.2037302449600294,Central GBR,16 to 20,post_2010
2019,0.14230113968995659,0.12042034418560216,0.1670210260523847,Central GBR,16 to 20,post_2010
