id,AIMS Sectors
10-330,1
10-331,1
10-332,1
10-333,1
10-334,1
10-335,1
10-336,1
10-337,1
10-338,1
10-339,1
10-340,1
10-341,1
10-342,1
10-299,1
10-316,1
10-317,1
10-318a,1
10-318b,1
10-318c,1
10-318d,1
10-320,1
10-321,1
10-322,1
10-323,1
10-324,1
10-325,1
10-326,1
10-327,1
10-328,1
10-329,1
10-401,1
10-402,1
10-403,1
10-404,1
10-405,1
10-406,1
10-407a,1
10-343a,1
10-343b,1
10-344,1
10-348,1
10-349,1
10-350,1
10-351,1
10-352,1
10-353,1
10-354,1
10-355,1
10-356,1
10-357,1
10-358,1
10-359,1
10-360,1
10-361,1
10-362,1
10-363,1
10-364,1
10-365,1
10-366,1
10-367,1
10-368,1
10-369,1
10-370,1
10-371,1
10-372,1
10-373,1
10-374,1
10-375a,1
10-375b,1
10-376,1
10-378,1
10-381,1
10-382,1
10-384,1
10-385,1
10-386,1
10-387,1
10-389,1
10-390,1
10-391,1
10-392,1
10-393,1
10-394,1
10-395,1
10-396,1
10-397,1
10-398,1
10-399,1
10-400,1
10-426,1
10-427,1
10-428a,1
10-428b,1
10-430,1
10-431,1
10-432,1
10-434,1
10-436,1
10-437,1
10-438,1
10-439,1
10-440,1
10-441,1
10-442,1
10-443,1
10-444,1
10-445,1
10-800,1
10-801,1
10-807,1
10-407b,1
10-408,1
10-409,1
10-410,1
10-411,1
10-411b,1
10-412,1
10-413,1
10-414,1
10-415,1
10-416a,1
10-416b,1
10-417,1
10-418a,1
10-418b,1
10-419a,1
10-419b,1
10-420,1
10-421,1
10-422,1
10-423,1
10-424,1
10-425,1
11-034,1
11-001,1
11-002,1
11-003,1
11-004,1
11-005,1
11-006,1
11-007,1
11-008,1
11-009,1
11-010,1
11-011a,1
11-011b,1
11-012,1
11-013,1
11-014,1
11-015,1
11-016,1
11-017,1
11-018,1
11-019,1
11-020,1
11-021,1
11-022,1
11-023,1
11-024,1
11-025,1
11-026,1
11-027,1
11-028,1
11-029,1
11-030,1
11-031,1
11-032,1
11-033a,1
11-033b,1
11-048b,1
11-049,1
11-050,1
11-051,1
11-052,1
11-053,1
11-054,1
11-055,1
11-035,1
11-036,1
11-037,1
11-038,1
11-039,1
11-040,1
11-041a,1
11-041b,1
11-042,1
11-043,1
11-044,1
11-045,1
11-046,1
11-047,1
11-048a,1
11-071,1
11-072,1
11-073,1
11-074,1
11-075,1
11-076,1
11-056a,1
11-056b,1
11-056c,1
11-056d,1
11-057,1
11-058,1
11-059,1
11-060,1
11-061,1
11-062,1
11-063a,1
11-063b,1
11-064,1
11-065,1
11-066,1
11-067,1
11-068,1
11-069,1
11-070a,1
11-070b,1
11-070c,1
11-103,1
11-104,1
11-105,1
11-107,1
11-108,1
11-109a,1
11-109b,1
11-110,1
11-111,1
11-112,1
11-113,1
11-114,1
11-115,1
11-116,1
11-117,1
11-118a,1
11-118b,1
11-119,1
11-077,1
11-078,1
11-079,1
11-080,1
11-081,1
11-082,1
11-083,1
11-084,1
11-085,1
11-087a,1
11-087b,1
11-088,1
11-089a,1
11-089b,1
11-090,1
11-091,1
11-092,1
11-093,1
11-094,1
11-095,1
11-096,1
11-097,1
11-098,1
11-099,1
11-100,1
11-101,1
11-102,1
11-157,1
11-158,1
11-120,1
11-121,1
11-122,1
11-123,1
11-124,1
11-125,1
11-126a,1
11-126b,1
11-127a,1
11-127b,1
11-128,1
11-129,1
11-130,1
11-131,1
11-132,1
11-133,1
11-134,1
11-135,1
11-136,1
11-137,1
11-138,1
11-139,1
11-140,1
11-141,1
11-142,1
11-143,1
11-144,1
11-145,1
11-146,1
11-147,1
11-148,1
11-149,1
11-150,1
11-151,1
11-152,1
11-153,1
11-154,1
11-155,1
11-156,1
11-169,1
11-170,1
11-171,1
11-172,1
11-173,1
11-174,1
11-175,1
11-176,1
11-177,1
11-178,1
11-179,1
11-180,1
11-159,1
11-160,1
11-161,1
11-162,1
11-163,1
11-164,1
11-165,1
11-166,1
11-167,1
11-168,1
11-223,1
11-224,1
11-225,1
11-226,1
11-227,1
11-228,1
11-181,1
11-182,1
11-183,1
11-184a,1
11-184b,1
11-184c,1
11-185,1
11-186,1
11-187,1
11-188,1
11-189,1
11-190a,1
11-190b,1
11-190c,1
11-191,1
11-192,1
11-193a,1
11-193b,1
11-194,1
11-195,1
11-196,1
11-197,1
11-200,1
11-201,1
11-202,1
11-203,1
11-204,1
11-205,1
11-206,1
11-207,1
11-208a,1
11-208b,1
11-209,1
11-210a,1
11-210b,1
11-211,1
11-212,1
11-213,1
11-214,1
11-215,1
11-216,1
11-263,1
11-264,1
11-217,1
11-218,1
11-219,1
11-220,1
11-221,1
11-222b,1
11-243,1
11-244a,1
11-244b,1
11-244c,1
11-244d,1
11-245,1
11-246,1
11-247,1
11-248,1
11-249,1
11-250,1
11-251,1
11-252,1
11-253,1
11-254,1
11-255,1
11-256,1
11-257,1
11-258,1
11-259,1
11-260,1
11-261,1
11-262,1
11-229a,1
11-229b,1
11-230,1
11-231,1
11-232,1
11-233,1
11-234,1
11-235,1
11-236,1
11-237a,1
11-237b,1
11-237c,1
11-238,1
11-239,1
11-240,1
11-241,1
11-242,1
12-007,1
12-008,1
12-009,1
12-010,1
12-011,1
11-265,1
11-266,1
11-267,1
11-268,1
11-269,1
11-270,1
11-271,1
11-272,1
11-273,1
11-274,1
11-275,1
11-276,1
11-277,1
11-278,1
11-279,1
11-280,1
11-281,1
11-282,1
11-283,1
11-284,1
11-285,1
11-286,1
11-287,1
11-288,1
11-289,1
11-290,1
11-291,1
11-292,1
11-293,1
11-294,1
11-295,1
11-296,1
11-297,1
11-298,1
11-299,1
11-300,1
11-301,1
11-302,1
11-303,1
11-304,1
11-305,1
11-306,1
11-307,1
11-308,1
11-309,1
11-310,1
11-311,1
11-312,1
11-313,1
11-314,1
11-315,1
11-316,1
11-317,1
11-318,1
11-319,1
11-320,1
11-321,1
11-322,1
11-323,1
11-324,1
11-800,1
12-001,1
12-002,1
12-003a,1
12-003b,1
12-003c,1
12-003d,1
12-004,1
12-005,1
12-006,1
12-027c,1
12-028,1
12-029,1
