id,GBRMPA Management Areas
10-330,Far Northern Management Area
10-331,Far Northern Management Area
10-332,Far Northern Management Area
10-333,Far Northern Management Area
10-334,Far Northern Management Area
10-335,Far Northern Management Area
10-336,Far Northern Management Area
10-337,Far Northern Management Area
10-338,Far Northern Management Area
10-339,Far Northern Management Area
10-340,Far Northern Management Area
10-341,Far Northern Management Area
10-342,
10-299,Far Northern Management Area
10-316,Far Northern Management Area
10-317,Far Northern Management Area
10-318a,Far Northern Management Area
10-318b,Far Northern Management Area
10-318c,Far Northern Management Area
10-318d,Far Northern Management Area
10-320,Far Northern Management Area
10-321,Far Northern Management Area
10-322,Far Northern Management Area
10-323,Far Northern Management Area
10-324,Far Northern Management Area
10-325,
10-326,
10-327,Far Northern Management Area
10-328,Far Northern Management Area
10-329,Far Northern Management Area
10-401,Far Northern Management Area
10-402,Far Northern Management Area
10-403,Far Northern Management Area
10-404,Far Northern Management Area
10-405,Far Northern Management Area
10-406,Far Northern Management Area
10-407a,Far Northern Management Area
10-343a,Far Northern Management Area
10-343b,Far Northern Management Area
10-344,Far Northern Management Area
10-348,
10-349,Far Northern Management Area
10-350,Far Northern Management Area
10-351,Far Northern Management Area
10-352,Far Northern Management Area
10-353,Far Northern Management Area
10-354,Far Northern Management Area
10-355,Far Northern Management Area
10-356,Far Northern Management Area
10-357,Far Northern Management Area
10-358,Far Northern Management Area
10-359,Far Northern Management Area
10-360,Far Northern Management Area
10-361,Far Northern Management Area
10-362,Far Northern Management Area
10-363,Far Northern Management Area
10-364,Far Northern Management Area
10-365,Far Northern Management Area
10-366,Far Northern Management Area
10-367,Far Northern Management Area
10-368,Far Northern Management Area
10-369,Far Northern Management Area
10-370,Far Northern Management Area
10-371,Far Northern Management Area
10-372,Far Northern Management Area
10-373,Far Northern Management Area
10-374,Far Northern Management Area
10-375a,Far Northern Management Area
10-375b,Far Northern Management Area
10-376,Far Northern Management Area
10-378,Far Northern Management Area
10-381,Far Northern Management Area
10-382,Far Northern Management Area
10-384,Far Northern Management Area
10-385,Far Northern Management Area
10-386,Far Northern Management Area
10-387,Far Northern Management Area
10-389,Far Northern Management Area
10-390,Far Northern Management Area
10-391,Far Northern Management Area
10-392,Far Northern Management Area
10-393,Far Northern Management Area
10-394,Far Northern Management Area
10-395,Far Northern Management Area
10-396,Far Northern Management Area
10-397,Far Northern Management Area
10-398,Far Northern Management Area
10-399,Far Northern Management Area
10-400,Far Northern Management Area
10-426,Far Northern Management Area
10-427,Far Northern Management Area
10-428a,Far Northern Management Area
10-428b,Far Northern Management Area
10-430,Far Northern Management Area
10-431,Far Northern Management Area
10-432,Far Northern Management Area
10-434,Far Northern Management Area
10-436,Far Northern Management Area
10-437,Far Northern Management Area
10-438,Far Northern Management Area
10-439,Far Northern Management Area
10-440,Far Northern Management Area
10-441,
10-442,Far Northern Management Area
10-443,Far Northern Management Area
10-444,Far Northern Management Area
10-445,Far Northern Management Area
10-800,Far Northern Management Area
10-801,Far Northern Management Area
10-807,
10-407b,Far Northern Management Area
10-408,Far Northern Management Area
10-409,Far Northern Management Area
10-410,Far Northern Management Area
10-411,Far Northern Management Area
10-411b,Far Northern Management Area
10-412,Far Northern Management Area
10-413,Far Northern Management Area
10-414,Far Northern Management Area
10-415,Far Northern Management Area
10-416a,Far Northern Management Area
10-416b,Far Northern Management Area
10-417,Far Northern Management Area
10-418a,Far Northern Management Area
10-418b,Far Northern Management Area
10-419a,Far Northern Management Area
10-419b,Far Northern Management Area
10-420,Far Northern Management Area
10-421,Far Northern Management Area
10-422,Far Northern Management Area
10-423,Far Northern Management Area
10-424,Far Northern Management Area
10-425,Far Northern Management Area
11-034,Far Northern Management Area
11-001,Far Northern Management Area
11-002,Far Northern Management Area
11-003,Far Northern Management Area
11-004,Far Northern Management Area
11-005,Far Northern Management Area
11-006,Far Northern Management Area
11-007,Far Northern Management Area
11-008,Far Northern Management Area
11-009,Far Northern Management Area
11-010,Far Northern Management Area
11-011a,Far Northern Management Area
11-011b,Far Northern Management Area
11-012,Far Northern Management Area
11-013,Far Northern Management Area
11-014,Far Northern Management Area
11-015,Far Northern Management Area
11-016,Far Northern Management Area
11-017,Far Northern Management Area
11-018,Far Northern Management Area
11-019,Far Northern Management Area
11-020,Far Northern Management Area
11-021,Far Northern Management Area
11-022,Far Northern Management Area
11-023,Far Northern Management Area
11-024,Far Northern Management Area
11-025,Far Northern Management Area
11-026,Far Northern Management Area
11-027,Far Northern Management Area
11-028,Far Northern Management Area
11-029,Far Northern Management Area
11-030,Far Northern Management Area
11-031,Far Northern Management Area
11-032,Far Northern Management Area
11-033a,Far Northern Management Area
11-033b,Far Northern Management Area
11-048b,Far Northern Management Area
11-049,Far Northern Management Area
11-050,Far Northern Management Area
11-051,Far Northern Management Area
11-052,Far Northern Management Area
11-053,Far Northern Management Area
11-054,Far Northern Management Area
11-055,Far Northern Management Area
11-035,Far Northern Management Area
11-036,Far Northern Management Area
11-037,Far Northern Management Area
11-038,Far Northern Management Area
11-039,Far Northern Management Area
11-040,Far Northern Management Area
11-041a,Far Northern Management Area
11-041b,Far Northern Management Area
11-042,Far Northern Management Area
11-043,Far Northern Management Area
11-044,Far Northern Management Area
11-045,Far Northern Management Area
11-046,Far Northern Management Area
11-047,Far Northern Management Area
11-048a,Far Northern Management Area
11-071,Far Northern Management Area
11-072,Far Northern Management Area
11-073,Far Northern Management Area
11-074,Far Northern Management Area
11-075,Far Northern Management Area
11-076,Far Northern Management Area
11-056a,Far Northern Management Area
11-056b,Far Northern Management Area
11-056c,Far Northern Management Area
11-056d,Far Northern Management Area
11-057,Far Northern Management Area
11-058,Far Northern Management Area
11-059,Far Northern Management Area
11-060,Far Northern Management Area
11-061,Far Northern Management Area
11-062,Far Northern Management Area
11-063a,Far Northern Management Area
11-063b,Far Northern Management Area
11-064,Far Northern Management Area
11-065,Far Northern Management Area
11-066,Far Northern Management Area
11-067,Far Northern Management Area
11-068,Far Northern Management Area
11-069,Far Northern Management Area
11-070a,Far Northern Management Area
11-070b,Far Northern Management Area
11-070c,Far Northern Management Area
11-103,Far Northern Management Area
11-104,Far Northern Management Area
11-105,Far Northern Management Area
11-107,Far Northern Management Area
11-108,Far Northern Management Area
11-109a,Far Northern Management Area
11-109b,Far Northern Management Area
11-110,Far Northern Management Area
11-111,Far Northern Management Area
11-112,Far Northern Management Area
11-113,Far Northern Management Area
11-114,Far Northern Management Area
11-115,Far Northern Management Area
11-116,Far Northern Management Area
11-117,Far Northern Management Area
11-118a,Far Northern Management Area
11-118b,Far Northern Management Area
11-119,Far Northern Management Area
11-077,Far Northern Management Area
11-078,Far Northern Management Area
11-079,Far Northern Management Area
11-080,Far Northern Management Area
11-081,Far Northern Management Area
11-082,Far Northern Management Area
11-083,Far Northern Management Area
11-084,Far Northern Management Area
11-085,Far Northern Management Area
11-087a,Far Northern Management Area
11-087b,Far Northern Management Area
11-088,Far Northern Management Area
11-089a,Far Northern Management Area
11-089b,Far Northern Management Area
11-090,Far Northern Management Area
11-091,Far Northern Management Area
11-092,Far Northern Management Area
11-093,Far Northern Management Area
11-094,Far Northern Management Area
11-095,Far Northern Management Area
11-096,Far Northern Management Area
11-097,Far Northern Management Area
11-098,Far Northern Management Area
11-099,Far Northern Management Area
11-100,Far Northern Management Area
11-101,Far Northern Management Area
11-102,Far Northern Management Area
11-157,Far Northern Management Area
11-158,Far Northern Management Area
11-120,Far Northern Management Area
11-121,Far Northern Management Area
11-122,Far Northern Management Area
11-123,Far Northern Management Area
11-124,Far Northern Management Area
11-125,Far Northern Management Area
11-126a,Far Northern Management Area
11-126b,Far Northern Management Area
11-127a,Far Northern Management Area
11-127b,Far Northern Management Area
11-128,Far Northern Management Area
11-129,Far Northern Management Area
11-130,Far Northern Management Area
11-131,Far Northern Management Area
11-132,Far Northern Management Area
11-133,Far Northern Management Area
11-134,Far Northern Management Area
11-135,Far Northern Management Area
11-136,Far Northern Management Area
11-137,Far Northern Management Area
11-138,Far Northern Management Area
11-139,Far Northern Management Area
11-140,Far Northern Management Area
11-141,Far Northern Management Area
11-142,Far Northern Management Area
11-143,Far Northern Management Area
11-144,Far Northern Management Area
11-145,Far Northern Management Area
11-146,Far Northern Management Area
11-147,Far Northern Management Area
11-148,Far Northern Management Area
11-149,Far Northern Management Area
11-150,Far Northern Management Area
11-151,Far Northern Management Area
11-152,Far Northern Management Area
11-153,Far Northern Management Area
