id,GBRMPA Zone Types
10-330,Dark Blue Zone
10-331,Light Blue Zone
10-332,Dark Blue Zone
10-333,Dark Blue Zone
10-334,Light Blue Zone
10-335,Dark Blue Zone
10-336,Dark Blue Zone
10-337,Dark Blue Zone
10-338,Dark Blue Zone
10-339,Dark Blue Zone
10-340,Dark Blue Zone
10-341,Dark Blue Zone
10-342,
10-299,Dark Blue Zone
10-316,
10-317,
10-318a,
10-318b,Dark Blue Zone
10-318c,
10-318d,Dark Blue Zone
10-320,
10-321,Commonwealth Island Zone
10-322,Light Blue Zone
10-323,Dark Blue Zone
10-324,Dark Blue Zone
10-325,
10-326,
10-327,Dark Blue Zone
10-328,Dark Blue Zone
10-329,Dark Blue Zone
10-401,Light Blue Zone
10-402,Green Zone
10-403,Green Zone
10-404,Dark Blue Zone
10-405,Light Blue Zone
10-406,Dark Blue Zone
10-407a,Dark Blue Zone
10-343a,Dark Blue Zone
10-343b,Dark Blue Zone
10-344,Dark Blue Zone
10-348,
10-349,Dark Blue Zone
10-350,Dark Blue Zone
10-351,Dark Blue Zone
10-352,Dark Blue Zone
10-353,Dark Blue Zone
10-354,Light Blue Zone
10-355,Dark Blue Zone
10-356,Dark Blue Zone
10-357,Dark Blue Zone
10-358,Dark Blue Zone
10-359,Light Blue Zone
10-360,Dark Blue Zone
10-361,Green Zone
10-362,Dark Blue Zone
10-363,Light Blue Zone
10-364,Dark Blue Zone
10-365,Dark Blue Zone
10-366,Light Blue Zone
10-367,Green Zone
10-368,Dark Blue Zone
10-369,Light Blue Zone
10-370,Light Blue Zone
10-371,Dark Blue Zone
10-372,Dark Blue Zone
10-373,Dark Blue Zone
10-374,Light Blue Zone
10-375a,Light Blue Zone
10-375b,Light Blue Zone
10-376,Dark Blue Zone
10-378,Green Zone
10-381,Green Zone
10-382,Dark Blue Zone
10-384,Green Zone
10-385,Green Zone
10-386,Green Zone
10-387,Dark Blue Zone
10-389,Green Zone
10-390,Green Zone
10-391,Green Zone
10-392,Dark Blue Zone
10-393,Light Blue Zone
10-394,Dark Blue Zone
10-395,Light Blue Zone
10-396,Light Blue Zone
10-397,Light Blue Zone
10-398,Green Zone
10-399,Green Zone
10-400,Green Zone
10-426,Dark Blue Zone
10-427,Light Blue Zone
10-428a,Green Zone
10-428b,Green Zone
10-430,Dark Blue Zone
10-431,Dark Blue Zone
10-432,Dark Blue Zone
10-434,Dark Blue Zone
10-436,Green Zone
10-437,Green Zone
10-438,Light Blue Zone
10-439,Light Blue Zone
10-440,Light Blue Zone
10-441,Light Blue Zone
10-442,Light Blue Zone
10-443,Green Zone
10-444,Dark Blue Zone
10-445,Dark Blue Zone
10-800,Dark Blue Zone
10-801,Dark Blue Zone
10-807,
10-407b,Dark Blue Zone
10-408,Green Zone
10-409,Light Blue Zone
10-410,Dark Blue Zone
10-411,Dark Blue Zone
10-411b,Green Zone
10-412,Dark Blue Zone
10-413,Green Zone
10-414,Dark Blue Zone
10-415,Green Zone
10-416a,Dark Blue Zone
10-416b,Dark Blue Zone
10-417,Green Zone
10-418a,Dark Blue Zone
10-418b,Dark Blue Zone
10-419a,Dark Blue Zone
10-419b,Dark Blue Zone
10-420,Dark Blue Zone
10-421,Light Blue Zone
10-422,Light Blue Zone
10-423,Green Zone
10-424,Light Blue Zone
10-425,Green Zone
11-034,Green Zone
11-001,Dark Blue Zone
11-002,
11-003,Dark Blue Zone
11-004,Dark Blue Zone
11-005,Dark Blue Zone
11-006,Dark Blue Zone
11-007,Dark Blue Zone
11-008,Dark Blue Zone
11-009,Dark Blue Zone
11-010,Dark Blue Zone
11-011a,Dark Blue Zone
11-011b,Dark Blue Zone
11-012,Green Zone
11-013,Green Zone
11-014,Green Zone
11-015,Green Zone
11-016,Dark Blue Zone
11-017,Light Blue Zone
11-018,Light Blue Zone
11-019,Dark Blue Zone
11-020,Light Blue Zone
11-021,Light Blue Zone
11-022,Light Blue Zone
11-023,Light Blue Zone
11-024,Light Blue Zone
11-025,Dark Blue Zone
11-026,Green Zone
11-027,Green Zone
11-028,Light Blue Zone
11-029,Dark Blue Zone
11-030,Light Blue Zone
11-031,Light Blue Zone
11-032,Light Blue Zone
11-033a,Light Blue Zone
11-033b,Light Blue Zone
11-048b,Green Zone
11-049,Green Zone
11-050,Green Zone
11-051,Green Zone
11-052,Green Zone
11-053,Green Zone
11-054,Green Zone
11-055,Green Zone
11-035,Pink Zone
11-036,Dark Blue Zone
11-037,Dark Blue Zone
11-038,Green Zone
11-039,Dark Blue Zone
11-040,Dark Blue Zone
11-041a,Light Blue Zone
11-041b,Light Blue Zone
11-042,Green Zone
11-043,Light Blue Zone
11-044,Light Blue Zone
11-045,Light Blue Zone
11-046,Green Zone
11-047,Green Zone
11-048a,Green Zone
11-071,Light Blue Zone
11-072,Green Zone
11-073,Green Zone
11-074,Green Zone
11-075,Green Zone
11-076,Green Zone
11-056a,Green Zone
11-056b,Green Zone
11-056c,Green Zone
11-056d,Green Zone
11-057,Green Zone
11-058,Pink Zone
11-059,Green Zone
11-060,Green Zone
11-061,Green Zone
11-062,Green Zone
11-063a,Light Blue Zone
11-063b,Light Blue Zone
11-064,Light Blue Zone
11-065,Light Blue Zone
11-066,Light Blue Zone
11-067,Light Blue Zone
11-068,Light Blue Zone
11-069,Light Blue Zone
11-070a,Green Zone
11-070b,Green Zone
11-070c,Green Zone
11-103,Green Zone
11-104,Green Zone
11-105,Green Zone
11-107,Green Zone
11-108,Green Zone
11-109a,Green Zone
11-109b,Green Zone
11-110,Green Zone
11-111,Green Zone
11-112,Dark Blue Zone
11-113,Dark Blue Zone
11-114,Dark Blue Zone
11-115,Dark Blue Zone
11-116,Dark Blue Zone
11-117,Dark Blue Zone
11-118a,Dark Blue Zone
11-118b,Dark Blue Zone
11-119,Dark Blue Zone
11-077,Green Zone
11-078,Green Zone
11-079,Green Zone
11-080,Green Zone
11-081,Green Zone
11-082,Green Zone
11-083,Green Zone
11-084,Green Zone
11-085,Green Zone
11-087a,Green Zone
11-087b,Green Zone
11-088,Green Zone
11-089a,Green Zone
11-089b,Green Zone
11-090,Green Zone
11-091,Pink Zone
11-092,Green Zone
11-093,Green Zone
11-094,Green Zone
11-095,Green Zone
11-096,Green Zone
11-097,Green Zone
11-098,Green Zone
11-099,Green Zone
11-100,Green Zone
11-101,Green Zone
11-102,Green Zone
11-157,Green Zone
11-158,Green Zone
11-120,Dark Blue Zone
11-121,Dark Blue Zone
11-122,Dark Blue Zone
11-123,Dark Blue Zone
11-124,Dark Blue Zone
11-125,Green Zone
11-126a,Green Zone
11-126b,Green Zone
11-127a,Green Zone
11-127b,Green Zone
11-128,Green Zone
11-129,Green Zone
11-130,Green Zone
11-131,Green Zone
11-132,Green Zone
11-133,Yellow Zone
11-134,Green Zone
11-135,Yellow Zone
11-136,Green Zone
11-137,Green Zone
11-138,Green Zone
11-139,Green Zone
